Angle Error,Condition,Participant ID,Point From,Point To
147.99,allocentric,1,Barrel,Bike
2.65,allocentric,1,Bike,Plant
8.96,allocentric,1,Lamp,Stove
9.49,allocentric,1,Chair,Lamp
3.01,allocentric,1,Plant,Chair
57.29,allocentric,1,Stove,Barrel
2.96,egocentric,2,Bike,Plant
1.29,egocentric,2,Stove,Barrel
5.47,egocentric,2,Lamp,Stove
11.18,egocentric,2,Chair,Lamp
43.55,egocentric,2,Barrel,Bike
2.06,egocentric,2,Plant,Chair
4.23,allocentric,3,Bike,Plant
3.19,allocentric,3,Barrel,Bike
2.08,allocentric,3,Lamp,Stove
6.29,allocentric,3,Plant,Chair
4.65,allocentric,3,Stove,Barrel
28.45,allocentric,3,Chair,Lamp
16.88,egocentric,4,Plant,Chair
5.05,egocentric,4,Lamp,Stove
1.59,egocentric,4,Bike,Plant
18.23,egocentric,4,Chair,Lamp
21.1,egocentric,4,Barrel,Bike
13.87,egocentric,4,Stove,Barrel
2.2,allocentric,5,Bike,Plant
34.69,allocentric,5,Lamp,Stove
32.88,allocentric,5,Chair,Lamp
52.91,allocentric,5,Plant,Chair
1.84,allocentric,5,Stove,Barrel
8.01,allocentric,5,Barrel,Bike
27.94,allocentric,6,Lamp,Stove
13.74,allocentric,6,Plant,Chair
1.61,allocentric,6,Barrel,Bike
5.57,allocentric,6,Chair,Lamp
0.58,allocentric,6,Stove,Barrel
2.33,allocentric,6,Bike,Plant
68.51,allocentric,7,Barrel,Bike
45.36,allocentric,7,Chair,Lamp
34.83,allocentric,7,Plant,Chair
15.87,allocentric,7,Lamp,Stove
138.3,allocentric,7,Stove,Barrel
2.82,allocentric,7,Bike,Plant
27.05,allocentric,8,Stove,Barrel
176.55,allocentric,8,Barrel,Bike
3.47,allocentric,8,Bike,Plant
4.31,allocentric,8,Plant,Chair
8.76,allocentric,8,Chair,Lamp
13.15,allocentric,8,Lamp,Stove
1.96,allocentric,9,Stove,Barrel
6.94,allocentric,9,Plant,Chair
3.57,allocentric,9,Bike,Plant
11.4,allocentric,9,Lamp,Stove
7.17,allocentric,9,Barrel,Bike
7.6,allocentric,9,Chair,Lamp
149.29,egocentric,10,Barrel,Bike
16.81,egocentric,10,Plant,Chair
1.86,egocentric,10,Bike,Plant
175.29,egocentric,10,Stove,Barrel
18.91,egocentric,10,Chair,Lamp
31.58,egocentric,10,Lamp,Stove
88.57,allocentric,11,Bike,Plant
39.42,allocentric,11,Lamp,Stove
3.21,allocentric,11,Stove,Barrel
51.5,allocentric,11,Barrel,Bike
31.47,allocentric,11,Chair,Lamp
2.51,allocentric,11,Plant,Chair
0.96,allocentric,12,Plant,Chair
2.67,allocentric,12,Chair,Lamp
88.18,allocentric,12,Bike,Plant
13.81,allocentric,12,Barrel,Bike
19.65,allocentric,12,Lamp,Stove
3.12,allocentric,12,Stove,Barrel
10.46,egocentric,13,Lamp,Stove
42.24,egocentric,13,Barrel,Bike
21.26,egocentric,13,Chair,Lamp
36.85,egocentric,13,Plant,Chair
2.54,egocentric,13,Bike,Plant
2.01,egocentric,13,Stove,Barrel
73.63,allocentric,14,Lamp,Stove
124.83,allocentric,14,Barrel,Bike
0,allocentric,14,Plant,Chair
2.49,allocentric,14,Bike,Plant
121.13,allocentric,14,Chair,Lamp
125.25,allocentric,14,Stove,Barrel
1.26,egocentric,15,Lamp,Stove
7.25,egocentric,15,Plant,Chair
3.99,egocentric,15,Bike,Plant
0.82,egocentric,15,Stove,Barrel
1.48,egocentric,15,Chair,Lamp
14.45,egocentric,15,Barrel,Bike
36.2,allocentric,16,Barrel,Bike
4.67,allocentric,16,Stove,Barrel
2.14,allocentric,16,Plant,Chair
9.29,allocentric,16,Chair,Lamp
23.4,allocentric,16,Lamp,Stove
2.82,allocentric,16,Bike,Plant
39.52,allocentric,17,Bike,Plant
9.74,allocentric,17,Chair,Lamp
0.92,allocentric,17,Lamp,Stove
0.75,allocentric,17,Stove,Barrel
3.56,allocentric,17,Plant,Chair
29.55,allocentric,17,Barrel,Bike
5.45,allocentric,18,Lamp,Stove
1.9,allocentric,18,Stove,Barrel
13.26,allocentric,18,Chair,Lamp
39.03,allocentric,18,Barrel,Bike
4.14,allocentric,18,Bike,Plant
3.35,allocentric,18,Plant,Chair
3.44,egocentric,19,Plant,Chair
3.06,egocentric,19,Bike,Plant
3.55,egocentric,19,Chair,Lamp
6.96,egocentric,19,Lamp,Stove
11.04,egocentric,19,Barrel,Bike
1.43,egocentric,19,Stove,Barrel
11.91,egocentric,20,Barrel,Bike
10.21,egocentric,20,Plant,Chair
18.2,egocentric,20,Chair,Lamp
1.18,egocentric,20,Bike,Plant
2.25,egocentric,20,Stove,Barrel
1.23,egocentric,20,Lamp,Stove
7.54,allocentric,21,Plant,Chair
2.26,allocentric,21,Bike,Plant
4.54,allocentric,21,Stove,Barrel
166.74,allocentric,21,Barrel,Bike
50.11,allocentric,21,Lamp,Stove
30.85,allocentric,21,Chair,Lamp
25.48,egocentric,22,Barrel,Bike
1.76,egocentric,22,Plant,Chair
3.66,egocentric,22,Chair,Lamp
61.64,egocentric,22,Bike,Plant
1.91,egocentric,22,Lamp,Stove
6.81,egocentric,22,Stove,Barrel
0.75,allocentric,23,Lamp,Stove
61.39,allocentric,23,Barrel,Bike
2.5,allocentric,23,Bike,Plant
24.68,allocentric,23,Chair,Lamp
23.65,allocentric,23,Plant,Chair
5.35,allocentric,23,Stove,Barrel
19.42,allocentric,24,Barrel,Bike
1.67,allocentric,24,Plant,Chair
3.11,allocentric,24,Bike,Plant
21.07,allocentric,24,Lamp,Stove
1.91,allocentric,24,Chair,Lamp
1.2,allocentric,24,Stove,Barrel
32.34,egocentric,25,Chair,Lamp
91.12,egocentric,25,Barrel,Bike
4.32,egocentric,25,Bike,Plant
45.63,egocentric,25,Lamp,Stove
24.18,egocentric,25,Plant,Chair
19.33,egocentric,25,Stove,Barrel
2.93,allocentric,26,Plant,Chair
44.45,allocentric,26,Lamp,Stove
3,allocentric,26,Stove,Barrel
25.63,allocentric,26,Bike,Plant
99.19,allocentric,26,Barrel,Bike
6.17,allocentric,26,Chair,Lamp
0,egocentric,27,Barrel,Bike
