Condition,Error in Distance,Object Name,Participant ID,,,
allocentric,27.02,Lamp,1,,,
allocentric,12.73,Chair,1,,,
allocentric,535.61,Bike,1,,,
allocentric,82.15,Stove,1,,,
allocentric,445.89,Barrel,1,,,
allocentric,10,Plant,1,,,
egocentric,26.93,Lamp,2,,,
egocentric,16.12,Chair,2,,,
egocentric,28.28,Bike,2,,,
egocentric,31.62,Stove,2,,,
egocentric,48.85,Barrel,2,,,
egocentric,12.81,Plant,2,,,
allocentric,26.93,Lamp,3,,,
allocentric,10.2,Chair,3,,,
allocentric,39.62,Bike,3,,,
allocentric,10.82,Stove,3,,,
allocentric,44.01,Barrel,3,,,
allocentric,46.87,Plant,3,,,
egocentric,46.32,Lamp,4,,,
egocentric,20.81,Chair,4,,,
egocentric,53.71,Bike,4,,,
egocentric,21.1,Stove,4,,,
egocentric,274.12,Barrel,4,,,
egocentric,55.9,Plant,4,,,
allocentric,47.54,Lamp,5,,,
allocentric,9.22,Chair,5,,,
allocentric,41,Bike,5,,,
allocentric,18.03,Stove,5,,,
allocentric,210.04,Barrel,5,,,
allocentric,432.03,Plant,5,,,
allocentric,26.08,Lamp,6,,,
allocentric,182.46,Chair,6,,,
allocentric,31.89,Bike,6,,,
allocentric,773.59,Stove,6,,,
allocentric,575.36,Barrel,6,,,
allocentric,440.37,Plant,6,,,
allocentric,33.42,Lamp,7,,,
allocentric,710.44,Chair,7,,,
allocentric,626.77,Bike,7,,,
allocentric,785.02,Stove,7,,,
allocentric,369.91,Barrel,7,,,
allocentric,50.99,Plant,7,,,
allocentric,26.08,Lamp,8,,,
allocentric,29,Chair,8,,,
allocentric,1070.42,Bike,8,,,
allocentric,851.05,Stove,8,,,
allocentric,41,Barrel,8,,,
allocentric,32.98,Plant,8,,,
allocentric,33.24,Lamp,9,,,
allocentric,18.97,Chair,9,,,
allocentric,160.43,Bike,9,,,
allocentric,70.68,Stove,9,,,
allocentric,42.64,Barrel,9,,,
allocentric,3.61,Plant,9,,,
egocentric,35.47,Lamp,10,,,
egocentric,21.21,Chair,10,,,
egocentric,15.65,Bike,10,,,
egocentric,754.8,Stove,10,,,
egocentric,401.1,Barrel,10,,,
egocentric,54.59,Plant,10,,,
